phi1    Phi     phi2    volume
130.00000 7.50000 -155.00000 2.16157
130.00000 7.50000 -150.00000 2.36693
130.00000 7.50000 -145.00000 2.94674
130.00000 7.50000 -140.00000 4.06250
130.00000 7.50000 -135.00000 5.36503
130.00000 7.50000 -130.00000 5.97466
130.00000 7.50000 -125.00000 5.37715
130.00000 7.50000 -120.00000 4.08251
130.00000 7.50000 -115.00000 2.97010
130.00000 7.50000 -110.00000 2.39084
130.00000 7.50000 -105.00000 2.18424
130.00000 7.50000 -100.00000 2.12331
130.00000 7.50000 -95.00000 2.09994
130.00000 7.50000 -90.00000 2.08529
130.00000 7.50000 -85.00000 2.07463
130.00000 7.50000 -80.00000 2.06715
130.00000 7.50000 -75.00000 2.05609
130.00000 7.50000 -70.00000 2.05609
130.00000 7.50000 -65.00000 2.05609
130.00000 7.50000 -60.00000 2.05609
130.00000 7.50000 -55.00000 2.05609
130.00000 7.50000 -50.00000 2.05609
130.00000 7.50000 -45.00000 2.05609
170.00000 7.50000 100.00000 2.05609
170.00000 7.50000 105.00000 2.05609
170.00000 7.50000 110.00000 2.05609
170.00000 7.50000 115.00000 2.05609
170.00000 7.50000 120.00000 2.05609
170.00000 7.50000 125.00000 2.05609
170.00000 7.50000 130.00000 2.05609
170.00000 7.50000 135.00000 2.05609
170.00000 7.50000 140.00000 2.05609
170.00000 7.50000 145.00000 2.05609
170.00000 7.50000 150.00000 2.05614
170.00000 7.50000 155.00000 2.06843
170.00000 7.50000 160.00000 2.08103
170.00000 7.50000 165.00000 2.13138
170.00000 7.50000 170.00000 2.33078
170.00000 7.50000 175.00000 2.91173
170.00000 7.50000 -180.00000 4.03894
170.00000 7.50000 -175.00000 5.35597
170.00000 7.50000 -170.00000 5.96787
170.00000 7.50000 -165.00000 5.35590
170.00000 7.50000 -160.00000 4.04327
170.00000 7.50000 -155.00000 2.92290
170.00000 7.50000 -150.00000 2.34671
170.00000 7.50000 -145.00000 2.14844
170.00000 7.50000 -140.00000 2.09660
170.00000 7.50000 -135.00000 2.08125
170.00000 7.50000 -130.00000 2.07301
170.00000 7.50000 -125.00000 2.06705
170.00000 7.50000 -120.00000 2.05609
170.00000 7.50000 -115.00000 2.05609
170.00000 7.50000 -110.00000 2.05609
170.00000 7.50000 -105.00000 2.05609
170.00000 7.50000 -100.00000 2.05609
170.00000 7.50000 -95.00000 2.05609
170.00000 7.50000 -90.00000 2.05609
170.00000 7.50000 -85.00000 2.05609
