Phase	         x	         y	    Euler1	  Euler2	  Euler3
   1	  15120.00	   2640.00	   144.520   121.430   179.350
   1	  15120.00	   2670.00	   325.070    59.025     2.590
   1	  15120.00	   2700.00	   144.980   120.710   179.190
   1	  15120.00	   2730.00	   144.900   120.500   178.800
   4	  15120.00	   2790.00	    92.975    53.472   137.090
   1	  15120.00	   2820.00	   270.050   127.530   222.370
   4	  15120.00	   2850.00	    98.234    51.950   135.340
   2	  15120.00	   2910.00	     2.681   161.200   104.320
   2	  15120.00	   2940.00	     3.456   160.700   104.660
   2	  15120.00	   2970.00	     2.590   160.330    44.286
   2	  15120.00	   3120.00	     3.214    61.532    90.857
   2	  15120.00	   3180.00	     1.592    61.215    89.519
   2	  15120.00	   3210.00	   146.670    77.303    93.515
   2	  15120.00	   3270.00	   146.730    77.578    34.310
   1	  15120.00	   3300.00	   208.480    10.826   287.730
   1	  15120.00	   3330.00	     2.140    62.914   296.880
   1	  15120.00	   3570.00	   138.860    92.872   245.990
   2	  15120.00	   3990.00	     1.968   132.830    53.217
   4	  15150.00	   1020.00	   121.230   131.600   101.610
   4	  15150.00	   1110.00	   108.230   158.290    63.426
   4	  15150.00	   1290.00	    97.174    94.546    51.392
   1	  15150.00	   1320.00	    78.627    84.868   216.380
   4	  15150.00	   1560.00	   141.670   115.410   310.910
   4	  15150.00	   1590.00	   142.090   115.620   310.880
   4	  15150.00	   1620.00	   142.800   115.800   310.760
   3	  15150.00	   1680.00	   166.630   123.750   357.050
   2	  15150.00	   1710.00	   172.540   126.130    29.427
   3	  15150.00	   1740.00	   168.110   123.940   357.600
   4	  15150.00	   1860.00	     5.560    55.252   187.980
   4	  15150.00	   1890.00	     5.826    54.296   187.710
   4	  15150.00	   1950.00	     5.676    55.919    67.375
   2	  15150.00	   2070.00	   175.550    88.739    60.546
   4	  15150.00	   2280.00	    83.439   114.590   102.070
   4	  15150.00	   2310.00	    82.722   112.970   282.190
   4	  15150.00	   2370.00	   116.960   124.780   135.430
   2	  15150.00	   2520.00	    24.784    67.816    69.274
   2	  15150.00	   2550.00	    24.393    67.859    68.800
   1	  15150.00	   2610.00	   144.300   120.530   179.270
   1	  15150.00	   2700.00	   145.230   120.900   179.150
   1	  15150.00	   2730.00	   145.120   120.900   178.960
   1	  15150.00	   2760.00	   145.150   121.170   178.750
   4	  15150.00	   2850.00	    97.867    52.368   136.200
   2	  15150.00	   2910.00	     3.305   161.060    44.630
   2	  15150.00	   2940.00	     5.923   160.430    46.748
   2	  15150.00	   2970.00	     4.890   160.890    45.795
   2	  15150.00	   3150.00	     1.790    61.660    30.495
   4	  15150.00	   3180.00	     1.687    61.873    60.377
   4	  15150.00	   3300.00	     1.154    63.959   116.110
   1	  15150.00	   3360.00	    79.571    67.248   337.550
   1	  15150.00	   3480.00	    76.657    85.737    31.201
   2	  15150.00	   3510.00	     9.645   123.200    58.931
   2	  15150.00	   3930.00	   179.890    46.736    68.212
   4	  15180.00	   1020.00	   122.750   131.670   102.850
   1	  15180.00	   1050.00	   297.950    86.518   284.840
   4	  15180.00	   1080.00	   110.460   157.870    66.338
   4	  15180.00	   1110.00	   108.850   158.270    63.694
   4	  15180.00	   1200.00	   127.140   125.210   109.600
   4	  15180.00	   1260.00	    97.430    94.846    52.523
   4	  15180.00	   1290.00	    96.723    94.411    51.558
   4	  15180.00	   1440.00	    99.647    64.517    24.648
   4	  15180.00	   1590.00	   142.470   115.830   311.320
   4	  15180.00	   1620.00	   141.850   115.970   310.730
   2	  15180.00	   1680.00	   173.020   125.740    30.572
   2	  15180.00	   1740.00	   173.100   125.050    30.249
