    phi1        Phi       phi2      phase         ci         iq sem_signal          x          y    grainId
  92.633    39.7478    317.176          0      0.432     2018.8      17764        846    10.3923         11
 93.2363    39.9014    15.9391          0      0.555     2687.9      17090        858    10.3923         11
 273.159    140.077    284.402          0        0.5     2653.9      18173        870    10.3923         11
 93.3417    40.0572    74.5762          0      0.655     2721.5      18267        882    10.3923         11
 273.175    139.971    105.194          0      0.809     2455.6      17083        894    10.3923         11
 271.709    140.069    103.678          0      0.505     2610.1      17930        906    10.3923         11
 271.164    140.021    102.839          0      0.664     2589.3      17870        918    10.3923         11
 90.7336    39.7232    256.827          0       0.45     2586.6      17075        930    10.3923         11
 89.4078    39.7581    79.0653          0      0.686     2609.1      17870        942    10.3923         11
 268.498    139.975    100.013          0        0.6     2512.6      19002        954    10.3923         11
 267.689    139.971    99.2437          0      0.768     2784.5      17066        966    10.3923         11
 268.192    140.086     99.454          0      0.673     2473.7      17207        978    10.3923         11
 267.692    140.129    340.073          0      0.482     2646.8      17883        990    10.3923         11
 118.562    24.5203    118.347          0      0.841     2679.6      18625          0    20.7846          7
 299.017    155.582    242.072          0      0.577     3164.4      18717         12    20.7846          7
 298.954    155.821    301.675          0      0.505     3126.8      17952         24    20.7846          7
 119.151    24.2441     117.79          0      0.477     3184.4      18811         36    20.7846          7
 298.647    155.512    301.602          0      0.882     3376.8      18456         48    20.7846          7
 299.176    155.776     302.27          0        0.8     3279.6      17285         60    20.7846          7
 299.043    155.787    302.179          0      0.814     3793.8      18325         72    20.7846          7
 281.069     147.96    306.365          0      0.632     3017.5      17788         84    20.7846         12
 281.879    147.979    187.062          0      0.714     2820.3      17928         96    20.7846         12
 281.423    147.904    306.525          0      0.777     3020.1      19368        108    20.7846         12
 281.506    148.102     186.84          0      0.668     2721.8      17737        120    20.7846         12
 101.563    31.9286    113.617          0      0.314     2943.4      17334        132    20.7846         12
 109.638    36.6882    63.9444          0      0.605     2750.5      17195        144    20.7846          8
 289.748    143.148    296.026          0       0.85     3169.7      16216        156    20.7846          8
 289.328    143.331    235.522          0      0.882     3356.2      18085        168    20.7846          8
 109.704    36.8521    304.088          0      0.836     2861.1      17115        180    20.7846          8
  109.41    36.5249    64.3615          0      0.845     3118.7      18014        192    20.7846          8
 109.635    36.7369     64.075          0      0.886     3228.3      18797        204    20.7846          8
 109.707    36.5708    63.7559          0      0.741     3579.6      18438        216    20.7846          8
 109.507    36.6567    64.0876          0      0.855     3291.6      17693        228    20.7846          8
   289.5    143.154    356.019          0      0.309     3093.5      18634        240    20.7846          8
 109.815    36.5066    64.0704          0      0.823     2973.8      17203        252    20.7846          8
 289.298    143.465    295.048          0      0.673     3242.4      19188        264    20.7846          8
 109.323    36.5209    64.6829          0      0.845     3470.7      17452        276    20.7846          8
 110.343     36.506    303.658          0      0.091     3367.5      17576        288    20.7846          8
 109.967    36.8526    303.887          0      0.645     3567.2      19528        300    20.7846          8
 109.382    36.3811    304.488          0      0.795     3486.3      19564        312    20.7846          8
 289.485    143.494    295.255          0      0.595     3010.4      18104        324    20.7846          8
 141.522    119.335    238.836          0      0.327     2073.3      17913        336    20.7846         17
 321.116    60.5513    181.462          0      0.305       2035      18983        348    20.7846         17
 321.401    60.2419    1.26394          0      0.391       2197      17560        360    20.7846         17
 321.193    60.2104    181.401          0      0.482     1942.2      19458        372    20.7846         17
 320.928    60.3422    1.47422          0       0.25     2081.7      17987        384    20.7846         17
 321.141    60.1869    1.29145          0      0.455     2272.2      17884        396    20.7846         17
 321.287    59.9978    181.276          0      0.314     1690.3      17380        408    20.7846         17
 321.683    60.5891    1.23415          0      0.386     2028.3      17882        420    20.7846         17
  141.22    119.698    238.507          0      0.391     2118.3      18418        432    20.7846         17
 321.216    60.4591    1.41291          0      0.391     1854.1      17541        444    20.7846         17
 321.455    60.3657    181.196          0      0.277     2125.8      18664        456    20.7846         17
 321.137    60.0855     181.49          0        0.2     2493.9      17726        468    20.7846         17
 320.985    60.1566    181.656          0      0.459     1977.1      16325        480    20.7846         17
 141.725    119.706    239.261          0      0.455     1968.8      17992        492    20.7846         17
 141.798      119.7    239.052          0       0.55     2348.8      18049        504    20.7846         17
 127.638    153.801    29.2547          0      0.264     2600.4      17050        516    20.7846         19
 128.807    153.821    209.859          0      0.486     3053.9      19332        528    20.7846         19
 308.031    26.1681    150.549          0      0.541     3079.5      18544        540    20.7846         19
 127.524    153.956    209.017          0      0.836     3294.4      18924        552    20.7846         19
 307.604    26.3291    150.661          0      0.586     3423.4      18601        564    20.7846         19
 307.796    26.3933    150.761          0      0.459     3011.1      16876        576    20.7846         19
 127.382    153.715    208.957          0      0.223     3207.5      18045        588    20.7846         19
 307.543     25.951    150.976          0        0.4     3108.4      19193        600    20.7846         19
 307.461      25.92    151.227          0      0.473     3154.7      17688        612    20.7846         19
 127.544    153.725     209.03          0      0.455     3237.7      17241        624    20.7846         19
 127.363     153.88    208.713          0      0.314       2838      17119        636    20.7846         19
 127.627    153.828    208.943          0      0.282     3131.9      19068        648    20.7846         19
  307.61    25.8868    151.009          0      0.873     3505.2      18493        660    20.7846         19
 307.951    26.1888    150.982          0      0.595     3100.3      16918        672    20.7846         19
 127.191    153.943    208.648          0      0.309     3278.8      17817        684    20.7846         19
 128.062    153.905    209.414          0      0.636     3114.6      17010        696    20.7846         19
 307.624    25.9945    331.117          0      0.759     3057.4      17030        708    20.7846         19
 307.713    26.0747    151.048          0      0.595     2795.3      18336        720    20.7846         19
 308.411    26.3051    150.565          0      0.609       2964      17741        732    20.7846         19
 296.731      112.2    98.1763          0      0.577     2847.1      17654        744    20.7846          6
 296.374    111.845    99.1773          0      0.627     2434.4      18035        756    20.7846          6
 296.252     111.69    98.8169          0      0.486       2396      17273        768    20.7846          6
 296.467    111.865     158.65          0      0.732     2501.2      17649        780    20.7846          6
 296.681    111.936    98.5562          0      0.468     2911.2      17873        792    20.7846          6
 296.401    111.837    98.9956          0      0.477       2697      17845        804    20.7846          6
 296.359    112.029    98.7882          0      0.518     2554.6      17245        816    20.7846          6
 296.678    112.002    98.8157          0      0.886     2568.3      17511        828    20.7846          6
 92.6811    39.3863    319.011          0      0.564     2725.9      18443        840    20.7846         11
  93.038    39.9438    77.6971          0      0.482       2615      18272        852    20.7846         11
 93.2305    40.3093    76.3673          0      0.482     2738.2      18451        864    20.7846         11
 272.969    139.732     45.443          0      0.423     2790.6      18266        876    20.7846         11
  272.29    140.113     283.95          0      0.145     2688.8      17726        888    20.7846         11
 92.3522    39.9334    315.972          0      0.386     2474.9      17977        900    20.7846         11
 271.722    139.823    43.2148          0      0.691     2631.6      17574        912    20.7846         11
 271.098    140.066    102.459          0      0.355     2948.7      16424        924    20.7846         11
 270.065    139.893    281.911          0      0.432     2424.4      16702        936    20.7846         11
 269.867     139.85    281.533          0      0.473     2769.8      17742        948    20.7846         11
 88.8927    40.0813    259.464          0      0.473     2666.2      16627        960    20.7846         11
 267.892     139.87    279.806          0      0.527     2674.7      17243        972    20.7846         11
 267.332     139.93    279.972          0      0.509     2772.6      20044        984    20.7846         11
 267.764    139.988     39.616          0      0.555     2690.4      19205        996    20.7846         11
 118.936    24.1198    58.2389          0      0.614     3409.8      18846          6    31.1769          7
 118.487     24.353    118.674          0      0.745     3467.5      18168         18    31.1769          7
 298.447    155.684    301.442          0      0.686       3389      19820         30    31.1769          7
 298.429     155.63    301.347          0      0.677     3648.3      18067         42    31.1769          7
 299.323    155.692    302.211          0        0.8     3767.2      18390         54    31.1769          7
 281.125    148.232    306.194          0      0.614       3018      18170         66    31.1769         12
 281.396    147.996    306.683          0      0.505     3050.4      17812         78    31.1769         12
 281.663    148.036    306.526          0      0.727     2770.1      19078         90    31.1769         12
 281.715    147.981    307.238          0      0.555     2782.8      18143        102    31.1769         12
 281.305    148.075    306.611          0      0.523     2804.1      18111        114    31.1769         12
 281.466    148.126    306.492          0      0.559     2854.9      18487        126    31.1769         12
 109.556    37.0921    64.2246          0      0.409     2088.1      17650        138    31.1769          8
 109.441    36.5266    64.4543          0      0.777     3103.1      17017        150    31.1769          8
 109.621    36.7713    64.0143          0      0.777     2792.8      18340        162    31.1769          8
 109.418    36.8337    64.1684          0      0.541     2971.9      16499        174    31.1769          8
 109.474     36.828    64.2045          0      0.691     3231.8      18420        186    31.1769          8
 289.466    143.192    295.801          0      0.573     3495.8      19426        198    31.1769          8
 109.332     36.753    124.049          0      0.768     3159.7      17563        210    31.1769          8
 289.462    143.271    235.881          0      0.645     2944.7      17447        222    31.1769          8
 289.349    143.264     295.98          0      0.841     3433.9      18362        234    31.1769          8
 109.522    36.6739    124.147          0      0.805     3383.4      18544        246    31.1769          8
 109.387    36.5518     64.381          0       0.65     3098.1      17967        258    31.1769          8
 289.112    143.379    295.454          0      0.191     3546.5      17018        270    31.1769          8
 109.269    36.6229    64.3472          0      0.591     3383.1      17079        282    31.1769          8
 110.003    36.7484    64.0298          0      0.755     2896.2      17592        294    31.1769          8
 109.604    36.4785    64.2819          0      0.673     3054.7      18263        306    31.1769          8
 109.538    36.7919     64.436          0      0.559     3713.3      17397        318    31.1769          8
 320.974    60.4511    1.35791          0      0.527     1773.9      19212        330    31.1769         17
 321.703     60.545    180.985          0      0.459     2349.9      17741        342    31.1769         17
 321.414    60.4264    181.382          0      0.368     2207.3      20200        354    31.1769         17
 321.646    60.5851    181.137          0      0.282     2179.1      18204        366    31.1769         17
 321.901    61.0882    120.913          0       0.05     2080.3      17840        378    31.1769         17
 321.122    60.5954    181.278          0      0.432     2346.5      18156        390    31.1769         17
 320.994     60.388    1.34187          0      0.464       2167      18928        402    31.1769         17
 321.128    60.5021    181.243          0      0.241     2115.2      16831        414    31.1769         17
 141.444    119.874    58.7242          0      0.373     2187.5      18119        426    31.1769         17
 321.462    60.1399    181.312          0      0.214       2122      17839        438    31.1769         17
 321.028    60.2265    1.51719          0      0.477     2233.4      17680        450    31.1769         17
  321.36    60.2408    181.377          0      0.591     1827.3      17611        462    31.1769         17
 321.127    60.1468    181.319          0      0.282     1837.7      17880        474    31.1769         17
 140.938    120.213    58.5259          0      0.268     2051.8      18238        486    31.1769         17
 140.747    119.461    238.491          0        0.4     2095.7      18247        498    31.1769         17
 141.337    119.308    238.703          0      0.464     2064.4      17729        510    31.1769         17
 307.964    26.2461    150.523          0       0.65     3053.4      18361        522    31.1769         19
 127.587     153.68     28.947          0      0.518     3424.9      19073        534    31.1769         19
 308.193    26.4363     150.44          0      0.323     3218.7      18569        546    31.1769         19
 306.486    25.7161    151.814          0      0.505     3166.4      17631        558    31.1769         19
 127.582    154.013    209.032          0      0.491     3439.8      18751        570    31.1769         19
  307.36    26.0747    151.279          0      0.336     3305.9      17678        582    31.1769         19
 308.091     26.348    150.495          0      0.386     3403.7      17331        594    31.1769         19
 307.386    25.9836    151.177          0      0.645     3363.6      17844        606    31.1769         19
 307.985    26.1664    150.474          0      0.427     3269.9      18931        618    31.1769         19
 307.467    26.2174    150.938          0      0.632     3522.7      17907        630    31.1769         19
 309.263    26.3561    329.808          0      0.164     3245.5      18973        642    31.1769         19
