X         Y         Z         data
-86.0674  26.3134   0         26.7
-85.5951  27.8115   0         30.8
-85.0967  29.3011   0         35.0
-84.5723  30.7818   0         30.0
-84.0222  32.2531   0         26.7
-83.4466  33.7146   0         28.3
-82.8454  35.1658   0         33.3
-82.2191  36.6063   0         17.5
-81.5677  38.0356   0         35.8
-80.8915  39.4534   0         35.0
-80.1906  40.8591   0         33.3
-79.4653  42.2524   0         31.7
-78.7158  43.6329   0         29.2
-77.9423  45        0         33.3
-77.1451  46.3534   0         39.2
-76.3243  47.6927   0         33.3
-75.4804  49.0175   0         26.7
-74.6134  50.3274   0         30.0
-73.7237  51.6219   0         48.3
-72.8115  52.9007   0         37.5
-71.8772  54.1634   0         31.7
-70.921   55.4095   0         33.3
-69.9431  56.6388   0         39.2
-68.944   57.8509   0         44.2
-67.9239  59.0453   0         36.7
-66.883   60.2218   0         40.8
-65.8218  61.3798   0         37.5
-64.7406  62.5192   0         30.0
-63.6396  63.6396   0         25.8
-62.5192  64.7406   0         32.5
-61.3798  65.8218   0         29.2
-60.2218  66.883    0         33.3
-59.0453  67.9239   0         30.8
-57.8509  68.944    0         30.0
-56.6388  69.9431   0         26.7
-55.4095  70.921    0         30.8
-54.1634  71.8772   0         29.2
-52.9007  72.8115   0         29.2
-51.6219  73.7237   0         34.2
-50.3274  74.6134   0         28.3
-49.0175  75.4804   0         30.8
-47.6927  76.3243   0         34.2
-46.3534  77.1451   0         24.2
-45       77.9423   0         22.5
-43.6329  78.7158   0         27.5
-42.2524  79.4653   0         25.8
-40.8591  80.1906   0         45.8
-39.4534  80.8915   0         25.8
-38.0356  81.5677   0         32.5
-36.6063  82.2191   0         34.2
-35.1658  82.8454   0         21.7
-33.7146  83.4466   0         30.8
-32.2531  84.0222   0         28.3
-30.7818  84.5723   0         41.7
-29.3011  85.0967   0         25.8
-27.8115  85.5951   0         43.3
-26.3134  86.0674   0         45.8
-24.8074  86.5135   0         35.8
-23.2937  86.9333   0         35.8
-21.773   87.3266   0         42.5
-20.2456  87.6933   0         50.0
-18.7121  88.0333   0         50.8
-17.1728  88.3465   0         41.7
-15.6283  88.6327   0         38.3
-14.0791  88.8919   0         55.0
-12.5256  89.1241   0         -1.0
-10.9682  89.3291   0         -1.0
-9.40756  89.507    0         -1.0
-7.84402  89.6575   0         -1.0
-6.27808  89.7808   0         -1.0
-4.71024  89.8767   0         -1.0
-3.14095  89.9452   0         35.0
-1.57072  89.9863   0         45.8
0         90        0         34.2
0         85        0         205.0
1.48345   84.987    0         195.0
2.96646   84.9482   0         197.5
4.44856   84.8835   0         182.5
5.9293    84.7929   0         200.9
7.40824   84.6766   0         176.7
8.88492   84.5344   0         186.7
10.3589   84.3664   0         171.7
11.8297   84.1728   0         169.2
13.2969   83.9535   0         170.9
14.7601   83.7087   0         160.9
16.2188   83.4383   0         152.5
17.6725   83.1425   0         156.7
19.1208   82.8215   0         164.2
20.5634   82.4751   0         185.0
21.9996   82.1037   0         143.4
23.4292   81.7072   0         144.2
24.8516   81.2859   0         163.4
